Actual_MW,Predicted_MW,Forecast_Error_MW,Anomaly
24264.0,24299.219,35.21875,0
23710.0,23698.686,11.314453,0
23851.0,23724.92,126.08008,0
24854.0,24949.035,95.03516,0
27407.0,27034.453,372.54688,0
31134.0,30799.914,334.08594,0
33878.0,33918.684,40.683594,0
35729.0,35752.504,23.503906,0
37337.0,37425.176,88.17578,0
38466.0,38520.066,54.066406,0
39313.0,39347.465,34.464844,0
40185.0,40140.473,44.527344,0
40992.0,40859.16,132.83984,0
41689.0,41485.01,203.98828,0
42316.0,41953.645,362.35547,0
42329.0,42195.61,133.39062,0
41547.0,41407.02,139.98047,0
39821.0,40330.312,509.3125,0
38664.0,39158.055,494.0547,0
38480.0,38630.35,150.35156,0
35372.0,36094.67,722.6719,0
31801.0,31766.033,34.966797,0
28725.0,28620.98,104.01953,0
26638.0,26838.375,200.375,0
25485.0,25413.42,71.58008,0
24719.0,24679.797,39.203125,0
24778.0,24514.229,263.77148,0
26049.0,25847.945,201.05469,0
28608.0,28440.23,167.76953,0
32392.0,31848.107,543.8926,0
35480.0,35032.99,447.01172,0
37770.0,37610.473,159.52734,0
39850.0,39754.152,95.84766,0
41529.0,41336.4,192.60156,0
42658.0,42800.12,142.1211,0
43917.0,43683.953,233.04688,0
44791.0,44735.793,55.20703,0
45511.0,45240.344,270.65625,0
46165.0,45703.02,461.98047,0
46128.0,46028.883,99.11719,0
44782.0,45231.68,449.6797,0
42894.0,43122.723,228.72266,0
41775.0,42019.35,244.35156,0
41396.0,41715.6,319.60156,0
37564.0,38945.29,1381.2891,1
33660.0,33546.688,113.3125,0
30336.0,30220.385,115.615234,0
28454.0,28263.59,190.41016,0
27110.0,27161.053,51.052734,0
26411.0,26128.49,282.50977,0
26298.0,26184.688,113.3125,0
27481.0,27311.303,169.69727,0
29978.0,29895.584,82.416016,0
33698.0,33202.72,495.28125,0
36732.0,36270.996,461.0039,0
39293.0,38872.367,420.6328,0
41554.0,41395.12,158.8789,0
43506.0,43112.7,393.30078,0
45219.0,44810.33,408.67188,0
47012.0,46316.48,695.51953,0
47399.0,47828.934,429.9336,0
48042.0,47544.25,497.75,0
48410.0,48121.582,288.41797,0
47728.0,48111.242,383.2422,0
46289.0,46553.355,264.35547,0
43677.0,44530.19,853.1914,0
42039.0,42413.625,374.625,0
40800.0,41870.434,1070.4336,1
37511.0,38141.645,630.64453,0
33842.0,33558.17,283.82812,0
30894.0,30517.307,376.69336,0
28748.0,28833.117,85.11719,0
27538.0,27338.303,199.69727,0
26756.0,26583.135,172.86523,0
26737.0,26460.082,276.91797,0
27821.0,27830.342,9.341797,0
30475.0,30166.477,308.52344,0
33895.0,33746.332,148.66797,0
35973.0,36230.117,257.1172,0
37892.0,37548.105,343.89453,0
39632.0,39519.8,112.19922,0
40819.0,40850.27,31.269531,0
40969.0,41767.312,798.3125,0
42254.0,41436.32,817.6797,0
42712.0,42947.93,235.92969,0
42718.0,42940.18,222.17969,0
42287.0,42515.92,228.92188,0
41466.0,41357.188,108.8125,0
40039.0,39907.164,131.83594,0
38597.0,38538.637,58.36328,0
38216.0,37961.18,254.82031,0
37961.0,38120.824,159.82422,0
35202.0,35421.04,219.03906,0
31964.0,31904.768,59.23242,0
29400.0,28988.402,411.59766,0
27715.0,27615.883,99.11719,0
26812.0,26557.451,254.54883,0
26152.0,26061.887,90.11328,0
26328.0,25981.188,346.8125,0
27534.0,27633.613,99.61328,0
29974.0,29999.445,25.445312,0
33472.0,32972.254,499.7461,0
36132.0,35812.926,319.07422,0
37957.0,38005.844,48.84375,0
39702.0,39541.863,160.13672,0
41055.0,40836.61,218.39062,0
41849.0,42028.203,179.20312,0
42723.0,42575.77,147.23047,0
43193.0,43261.37,68.37109,0
43186.0,43361.883,175.88281,0
42857.0,42882.29,25.289062,0
41970.0,41963.746,6.2539062,0
40145.0,40349.95,204.94922,0
38532.0,38300.24,231.76172,0
37459.0,37807.22,348.21875,0
36854.0,37135.734,281.73438,0
34534.0,34287.797,246.20312,0
31566.0,31449.24,116.759766,0
28858.0,28615.621,242.3789,0
27219.0,26782.604,436.39648,0
25992.0,25818.285,173.71484,0
25192.0,25053.021,138.97852,0
25056.0,24664.762,391.23828,0
25332.0,25005.03,326.9707,0
25931.0,25981.234,50.234375,0
27740.0,27906.053,166.05273,0
30327.0,30360.291,33.291016,0
32705.0,32435.752,269.24805,0
34325.0,34436.95,111.94922,0
35417.0,35405.54,11.4609375,0
35887.0,35898.164,11.1640625,0
35641.0,35978.94,337.9414,0
34667.0,35396.492,729.4922,0
33835.0,34055.246,220.2461,0
33398.0,33219.812,178.1875,0
33149.0,32773.62,375.3789,0
32822.0,32331.982,490.01758,0
32229.0,32105.129,123.87109,0
31856.0,31996.473,140.47266,0
32108.0,31967.162,140.83789,0
30458.0,30230.459,227.54102,0
27925.0,28000.795,75.79492,0
25682.0,25508.988,173.01172,0
23884.0,23979.434,95.43359,0
22770.0,22687.223,82.77734,0
21914.0,21965.611,51.61133,0
